,Indicator Name
268,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)"
267,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)"
272,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
271,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)"
270,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)"
266,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)"
265,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)"
264,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)"
316,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)"
315,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)"
314,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)"
313,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)"
312,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)"
311,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)"
511,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)"
510,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)"
509,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
263,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)"
262,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)"
261,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)"
310,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)"
309,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)"
308,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"
1216,Electric power consumption (kWh per capita)
1231,Electric power transmission and distribution losses (% of output)
1234,Electricity production from coal sources (% of total)
1232,Electricity production from hydroelectric sources (% of total)
1230,Electricity production from natural gas sources (% of total)
1229,Electricity production from nuclear sources (% of total)
1228,Electricity production from oil sources (% of total)
1233,"Electricity production from oil, gas and coal sources (% of total)"
1225,"Electricity production from renewable sources, excluding hydroelectric (% of total)"
1226,"Electricity production from renewable sources, excluding hydroelectric (kWh)"
1130,"Employers, female (% of female employment) (modeled ILO estimate)"
1129,"Employers, male (% of male employment) (modeled ILO estimate)"
1128,"Employers, total (% of total employment) (modeled ILO estimate)"
1137,Employment in agriculture (% of total employment) (modeled ILO estimate)
1267,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"
1138,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)"
1102,Employment in industry (% of total employment) (modeled ILO estimate)
1104,"Employment in industry, female (% of female employment) (modeled ILO estimate)"
1103,"Employment in industry, male (% of male employment) (modeled ILO estimate)"
958,Employment in services (% of total employment) (modeled ILO estimate)
1089,"Employment in services, female (% of female employment) (modeled ILO estimate)"
959,"Employment in services, male (% of male employment) (modeled ILO estimate)"
1122,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)"
1123,"Employment to population ratio, 15+, female (%) (national estimate)"
1120,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)"
1121,"Employment to population ratio, 15+, male (%) (national estimate)"
1118,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)"
1119,"Employment to population ratio, 15+, total (%) (national estimate)"
1135,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)"
1136,"Employment to population ratio, ages 15-24, female (%) (national estimate)"
1133,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)"
1134,"Employment to population ratio, ages 15-24, male (%) (national estimate)"
1131,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)"
1132,"Employment to population ratio, ages 15-24, total (%) (national estimate)"
1221,"Energy imports, net (% of energy use)"
1238,Energy intensity level of primary energy (MJ/$2011 PPP GDP)
1194,Energy related methane emissions (% of total)
1215,Energy use (kg of oil equivalent per capita)
1218,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)"
1506,Exclusive breastfeeding (% of children under 6 months)
246,Expenditure on primary education (% of government expenditure on education)
244,Expenditure on secondary education (% of government expenditure on education)
242,Expenditure on tertiary education (% of government expenditure on education)
584,Expense (% of GDP)
585,Expense (current LCU)
35,Export unit value index (2000 = 100)
14,Export value index (2000 = 100)
36,Export volume index (2000 = 100)
1004,Exports as a capacity to import (constant LCU)
1348,Exports of goods and services (% of GDP)
1436,"Exports of goods and services (BoP, current US$)"
1350,Exports of goods and services (annual % growth)
1351,Exports of goods and services (constant 2010 US$)
1349,Exports of goods and services (constant LCU)
1352,Exports of goods and services (current LCU)
1353,Exports of goods and services (current US$)
1431,"Exports of goods, services and primary income (BoP, current US$)"
1321,External balance on goods and services (% of GDP)
1322,External balance on goods and services (constant LCU)
1323,External balance on goods and services (current LCU)
1324,External balance on goods and services (current US$)
832,External debt stocks (% of GNI)
833,"External debt stocks (% of exports of goods, services and primary income)"
839,"External debt stocks, concessional (DOD, current US$)"
830,"External debt stocks, long-term (DOD, current US$)"
644,"External debt stocks, long-term private sector (DOD, current US$)"
642,"External debt stocks, long-term public sector (DOD, current US$)"
829,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
662,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
661,"External debt stocks, short-term (DOD, current US$)"
835,"External debt stocks, total (DOD, current US$)"
637,"External debt stocks, variable rate (DOD, current US$)"
1310,External health expenditure (% of current health expenditure)
1309,External health expenditure per capita (current US$)
1308,"External health expenditure per capita, PPP (current international $)"
1502,Female genital mutilation prevalence (%)
696,Female headed households (% of households with a female head)
1124,Female share of employment in senior and middle management (%)
700,"Fertility rate, total (births per woman)"
1598,Fertilizer consumption (% of fertilizer production)
1597,Fertilizer consumption (kilograms per hectare of arable land)
1360,Final consumption expenditure (% of GDP)
1362,Final consumption expenditure (annual % growth)
1363,Final consumption expenditure (constant 2010 US$)
1361,Final consumption expenditure (constant LCU)
1364,Final consumption expenditure (current LCU)
1365,Final consumption expenditure (current US$)
1179,Financial intermediary services indirectly Measured (FISIM) (constant LCU)
1180,Financial intermediary services indirectly Measured (FISIM) (current LCU)
549,Firms competing against unregistered firms (% of firms)
346,Firms expected to give gifts in meetings with tax officials (% of firms)
561,Firms experiencing electrical outages (% of firms)
371,Firms experiencing losses due to theft and vandalism (% of firms)
376,Firms formally registered when operations started (% of firms)
370,Firms offering formal training (% of firms)
375,Firms that do not report all sales for tax purposes (% of firms)
372,Firms that spend on R&D (% of firms)
551,Firms using banks to finance investment (% of firms)
552,Firms using banks to finance working capital (% of firms)
374,Firms visited or required meetings with tax officials (% of firms)
377,Firms with female participation in ownership (% of firms)
378,Firms with female top manager (% of firms)
1045,"Fish species, threatened"
127,Fixed broadband subscriptions
126,Fixed broadband subscriptions (per 100 people)
129,Fixed telephone subscriptions
128,Fixed telephone subscriptions (per 100 people)
33,Food exports (% of merchandise exports)
213,Food imports (% of merchandise imports)
1574,Food production index (2004-2006 = 100)
1164,"Food, beverages and tobacco (% of value added in manufacturing)"
1447,"Foreign direct investment, net (BoP, current US$)"
1427,"Foreign direct investment, net inflows (% of GDP)"
1428,"Foreign direct investment, net inflows (BoP, current US$)"
1558,"Foreign direct investment, net outflows (% of GDP)"
1559,"Foreign direct investment, net outflows (BoP, current US$)"
1583,Forest area (% of land area)
1584,Forest area (sq. km)
992,Forest rents (% of GDP)
1219,Fossil fuel energy consumption (% of total)
32,Fuel exports (% of merchandise exports)
212,Fuel imports (% of merchandise imports)
987,GDP (constant 2010 US$)
985,GDP (constant LCU)
989,GDP (current LCU)
990,GDP (current US$)
1000,GDP deflator (base year varies by country)
999,GDP deflator: linked series (base year varies by country)
986,GDP growth (annual %)
979,GDP per capita (constant 2010 US$)
977,GDP per capita (constant LCU)
980,GDP per capita (current LCU)
981,GDP per capita (current US$)
978,GDP per capita growth (annual %)
975,"GDP per capita, PPP (constant 2011 international $)"
976,"GDP per capita, PPP (current international $)"
1105,GDP per person employed (constant 2011 PPP $)
1223,GDP per unit of energy use (PPP $ per kg of oil equivalent)
1222,GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent)
983,"GDP, PPP (constant 2011 international $)"
984,"GDP, PPP (current international $)"
988,GDP: linked series (current LCU)
1052,GHG net emissions/removals by LUCF (Mt of CO2 equivalent)
1287,GINI index (World Bank estimate)
965,GNI (constant 2010 US$)
963,GNI (constant LCU)
966,GNI (current LCU)
967,GNI (current US$)
964,GNI growth (annual %)
768,GNI per capita (constant 2010 US$)
766,GNI per capita (constant LCU)
769,GNI per capita (current LCU)
